username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NonStar1;2015-03-31 15:26;0;0;"Tooth root canal and Netflix down when I'm 5 series deep in Sons of Anarchy tamps!!! It's not a good day #soa #addicted";;;#soa #addicted;"582987377238409216";https://twitter.com/NonStar1/status/582987377238409216
leanneduffy4;2014-11-07 13:35;0;0;"Still can't leave them alone, even after 4 sessions of root canal #addicted pic.twitter.com/D3g2YrPwq6";;;#addicted;"530790681892376576";https://twitter.com/leanneduffy4/status/530790681892376576
GypsyLovesLife;2013-04-30 23:02;0;0;"Where is the first place you go after your dentist appointment?! #addicted #candy #rootcanal http:// instagram.com/p/YwNdejRWE9/";;;#addicted #candy #rootcanal;"329430694054998016";https://twitter.com/GypsyLovesLife/status/329430694054998016
MaddieJene13;2013-04-05 13:13;0;0;"I need to stop eating sweets since I have to get a root canal in less than 2 weeks #addicted";;;#addicted;"320222568428748800";https://twitter.com/MaddieJene13/status/320222568428748800
marissa_hurley;2013-03-30 17:26;0;1;"Getting a root canal this morning hasn't stopped me from eating jelly beans #candyproblems #addicted";;;#candyproblems #addicted;"318111910212038656";https://twitter.com/marissa_hurley/status/318111910212038656
RyleyE;2012-08-02 16:48;0;0;"DAMNIT! I did it again.. #sweettooth #rootcanal #addicted http:// instagr.am/p/N1vPIfGNpN/";;;#sweettooth #rootcanal #addicted;"231129328618975232";https://twitter.com/RyleyE/status/231129328618975232
amm1218;2012-07-03 13:40;0;0;"Gunna need another root canal after this. #saltwatertaffy #addicted pic.twitter.com/dei6u0U6";;;#saltwatertaffy #addicted;"220210362140721153";https://twitter.com/amm1218/status/220210362140721153
allielessin;2011-09-22 20:53;0;0;"Why am I eating candy after a root canal ?? I think I have a problem #weak #addicted";;;#weak #addicted;"117038745525551104";https://twitter.com/allielessin/status/117038745525551104
MrsTiffany;2011-08-25 23:12;0;0;"I know...i cant help it #addicted smh RT @_HeyBella_ : @MrsTiffany Alright now root canal !!";;@_HeyBella_ @MrsTiffany;#addicted;"106926959543586816";https://twitter.com/MrsTiffany/status/106926959543586816
StevenWeldler;2011-07-07 18:00;0;0;"In middle of my root canal , I pause to tweet. #addicted";;;#addicted;"89091339077160960";https://twitter.com/StevenWeldler/status/89091339077160960